id,name,description,maintain_stock,quantity,condition,warranty,created_at,updated_at,sort_order,disabled,reorder_at,taxable,upc_code,pdf,discount_percent,warranty_template_id,qb_item_id,vendor_id,desired_stock_level,notes,tax_rate_id,physical_location,xero_item_id,serialized,long_description,woo_description,woo_long_description,canonical_product_id,one_time_use,upsell_products,upsell_categories,is_shipping_product,nonbillable_time,delete,price_retail,price_cost,price_wholesale,category_path,vendor,JB Hi-Fi-SKU,Ubiquiti Warehouse-SKU,Asus-SKU,Leader Systems-SKU,Ebay-SKU,PC Case Gear-SKU,Edsys-SKU,MSY Balcatta-SKU,MSY Cannington-SKU,L&H Group-SKU,Ingram Micro-SKU,ACA Pacific-SKU,Bunnings-SKU,MM Electrical Merchandising-SKU,FairTel (Supplier)-SKU,PSA Parts-SKU,Sektor-SKU,Office Works-SKU,Synnex-SKU,serial_numbers
9831124,CAT 5E Patch Panel,CAT 5E Patch Panel - 24 Port 110 Style,true,0,New,,2019-07-04 23:43:10 +0800,2022-11-15 09:36:59 +0800,,false,,true,,"",,18086,3415354,,,,37894,,,false,,,,,false,[],[],,,"",70.0,46.53,55.0,Hardware;Cabling,Dataworld,,,,,,,,,,,,,,,,,,,,
9917533,Laptop Keyboard,Laptop Keyboard,true,0,New,,2019-07-23 20:38:34 +0800,2022-11-15 15:05:43 +0800,,false,,true,"","",,18086,3415465,,,"",37894,"",,true,,,,,false,[],[],,,"",0.0,176.0,0.0,Hardware;Computer;Laptop;Laptop Parts,Laptop Parts,,,,,,,,,,,,,,,,,,,,""
9941728,Ubiquiti AMO-2G-10,Ubiquiti 2.4GHz AirMax Dual Omni 10dBi Antenna,true,0,New,,2019-07-26 17:10:20 +0800,2022-11-15 15:50:25 +0800,,false,,true,AMO-2G10,"",,18086,3415653,,,"",37894,"",,true,,,,,false,[],[],,,"",349.0,235.4,290.0,"Hardware;Networking;Firewall, Router, Modem",Leader Systems,,,,NHU-AMO-2G10,,,,,,,,,,,,,,,,""
9941736,UniFi In Wall,Ubiquiti UniFi 802.11AC In-Wall Access Point with Ethernet port,true,0,New,,2019-07-26 17:13:39 +0800,2022-11-15 15:52:05 +0800,,false,,true,UAP-AC-IW,"",,18086,3415653,,,"",37894,"",,true,,,,,false,[],[],,,"",220.0,141.16,181.0,Hardware;WiFi ;Unifi,Leader Systems,,,,NHU-UAP-AC-IW-5,,,,,,,,,,,,,,,,""
9977532,Documentation,New customer on-boarding / Customer documentation,false,0,New,,2019-07-29 21:35:48 +0800,2026-01-23 15:30:45 +0800,,false,,true,,"",,,3415759,,,,37894,,,false,,,,,false,[],[],,,"",220.0,0.0,0.0,Labour;MSP,,,,,,,,,,,,,,,,,,,,,
10053213,EdgeRouter 12,Ubiquiti EdgeRouter 12 - 10-Port Gigabit Router with PoE Passthrough and 2 SFP Ports,true,0,New,,2019-08-06 20:31:40 +0800,2022-11-15 15:32:45 +0800,,false,,true,NHU-ER-12,"",,18086,3415653,,,"",37894,"",,true,,,,,false,[],[],,,"",560.0,372.9,0.0,"Hardware;Networking;Firewall, Router, Modem",Leader Systems,,,,,,,,,,,,,,,,,,,,""
10053231,TP-Link SM311LS,TP-Link SM311LS Single-Mode Mini GBIC SFP Module,true,0,New,,2019-08-06 20:46:23 +0800,2022-11-15 15:38:28 +0800,,false,,true,NWTL-SM311LS,"",,21614,3696959,,,"",37894,"",,true,,,,,false,[],[],,,"",55.0,37.4,0.0,Hardware;Networking;Other Network,Leader Systems,,,,,,,,,,,,,,,,,,,,""
10053243,Cabac Fiber LC-SC,Cabac 1m LC-SC S/Mode Duplex Fibre Lead Cable LS,true,0,New,,2019-08-06 20:56:39 +0800,2024-11-06 15:25:59 +0800,,false,,true,FL.OS2LCSC05M,"",,18086,3696958,,,"",37894,"",,false,,,,,false,[],[],,,"",30.0,10.69,0.0,Hardware;Networking;Network Cables,Leader Systems,,,,,,,,,,,,,,,,,,,,
10185342,16GB USB3,16GB USB3.0 Flash Drive Memory Stick Thumb Key,true,0,New,,2019-08-21 09:25:04 +0800,2022-11-15 15:27:21 +0800,,false,,true,USK-DTSE9G-16GB,"",,18624,3696957,,,"",37894,"",,true,,,,,false,[],[],,,"",19.95,9.35,0.0,Hardware;Computer;Peripherals and Cables;Storage,Leader Systems,,,,USK-DTSE9G2-16GB,,,,,,,,,,,,,,,,""
10234712,Draytek Vigor2762N,Draytek Vigor2762N VDSL2/ADSL2+ VPN Firewall Router WIFI 4xGigabit LAN WAN Port 2xUSB for 3G/4G 2xSSL VPN Tunnels 2.4GHz ~MOD-DV2760,true,0,New,,2019-08-27 12:43:15 +0800,2022-11-15 15:32:55 +0800,,false,,true,"","",,18086,3415653,,,"",37894,"",,true,,,,,false,[],[],,,"",465.0,302.5,0.0,"Hardware;Networking;Firewall, Router, Modem",Leader Systems,,,,,,,,,,,,,,,,,,,,""
